low,high,recent_strength,all_strength,avg_strength,persistent,zone_type
90589,91078,0.0,0.4,0.2,False,短期区
91568,92058,0.0,0.4,0.2,False,短期区
92547,93037,0.0,强：0.9,0.4,False,短期区
93037,93527,0.0,0.8,0.4,False,短期区
93527,94016,0.0,0.5,0.2,False,短期区
95485,95975,0.0,强：1.0,强：0.5,False,短期区
97444,97934,强：0.5,0.1,0.3,False,短期区
97934,98423,强：1.0,0.2,强：0.6,False,短期区
100382,100872,0.0,强：0.9,强：0.5,False,短期区
102341,102830,0.0,0.7,0.3,False,短期区
103320,103810,0.1,0.0,0.0,False,短期区
111644,112134,强：0.6,0.0,0.3,False,短期区
